순위, 검색어, 웹페이지URI
1,조현아 동영상,http://search.zum.com/search.zum?query=%EC%A1%B0%ED%98%84%EC%95%84%20%EB%8F%99%EC%98%81%EC%83%81&qm=g_real1.top&real1_id=1&method=uni&option=accu
2,송송커플,http://search.zum.com/search.zum?query=%EC%86%A1%EC%86%A1%EC%BB%A4%ED%94%8C&qm=g_real1.top&real1_id=2&method=uni&option=accu
3,이효리,http://search.zum.com/search.zum?query=%EC%9D%B4%ED%9A%A8%EB%A6%AC&qm=g_real1.top&real1_id=3&method=uni&option=accu
4,4월 11일 임시공휴일,http://search.zum.com/search.zum?query=4%EC%9B%94%2011%EC%9D%BC%20%EC%9E%84%EC%8B%9C%EA%B3%B5%ED%9C%B4%EC%9D%BC&qm=g_real1.top&real1_id=4&method=uni&option=accu
5,이시원,http://search.zum.com/search.zum?query=%EC%9D%B4%EC%8B%9C%EC%9B%90&qm=g_real1.top&real1_id=5&method=uni&option=accu
6,권아솔,http://search.zum.com/search.zum?query=%EA%B6%8C%EC%95%84%EC%86%94&qm=g_real1.top&real1_id=6&method=uni&option=accu
7,이랜드몰,http://search.zum.com/search.zum?query=%EC%9D%B4%EB%9E%9C%EB%93%9C%EB%AA%B0&qm=g_real1.top&real1_id=7&method=uni&option=accu
8,설훈,http://search.zum.com/search.zum?query=%EC%84%A4%ED%9B%88&qm=g_real1.top&real1_id=8&method=uni&option=accu
9,김호영,http://search.zum.com/search.zum?query=%EA%B9%80%ED%98%B8%EC%98%81&qm=g_real1.top&real1_id=9&method=uni&option=accu
10,쿠키런 오븐브레이크,http://search.zum.com/search.zum?query=%EC%BF%A0%ED%82%A4%EB%9F%B0%20%EC%98%A4%EB%B8%90%EB%B8%8C%EB%A0%88%EC%9D%B4%ED%81%AC&qm=g_real1.top&real1_id=10&method=uni&option=accu
11,김상혁,http://search.zum.com/search.zum?query=%EA%B9%80%EC%83%81%ED%98%81&qm=g_real1.top&real1_id=11&method=uni&option=accu
12,그랜드캐년 추락,http://search.zum.com/search.zum?query=%EA%B7%B8%EB%9E%9C%EB%93%9C%EC%BA%90%EB%85%84%20%EC%B6%94%EB%9D%BD&qm=g_real1.top&real1_id=12&method=uni&option=accu
13,애슐리 w,http://search.zum.com/search.zum?query=%EC%95%A0%EC%8A%90%EB%A6%AC%20w&qm=g_real1.top&real1_id=13&method=uni&option=accu
14,황미나,http://search.zum.com/search.zum?query=%ED%99%A9%EB%AF%B8%EB%82%98&qm=g_real1.top&real1_id=14&method=uni&option=accu
15,송혜교,http://search.zum.com/search.zum?query=%EC%86%A1%ED%98%9C%EA%B5%90&qm=g_real1.top&real1_id=15&method=uni&option=accu
16,기아차 통상임금,http://search.zum.com/search.zum?query=%EA%B8%B0%EC%95%84%EC%B0%A8%20%ED%86%B5%EC%83%81%EC%9E%84%EA%B8%88&qm=g_real1.top&real1_id=16&method=uni&option=accu
17,김한길,http://search.zum.com/search.zum?query=%EA%B9%80%ED%95%9C%EA%B8%B8&qm=g_real1.top&real1_id=17&method=uni&option=accu
18,박상원,http://search.zum.com/search.zum?query=%EB%B0%95%EC%83%81%EC%9B%90&qm=g_real1.top&real1_id=18&method=uni&option=accu
19,일본 지진,http://search.zum.com/search.zum?query=%EC%9D%BC%EB%B3%B8%20%EC%A7%80%EC%A7%84&qm=g_real1.top&real1_id=19&method=uni&option=accu
20,호호바오일,http://search.zum.com/search.zum?query=%ED%98%B8%ED%98%B8%EB%B0%94%EC%98%A4%EC%9D%BC&qm=g_real1.top&real1_id=20&method=uni&option=accu
